model;price;date added;power of engine;used;number of previous owners;transmission type;fuel type;fuel consumption;co2 emissions
Mercedes-Benz CLA 220 ;€ 21,880.-;108,000 km;10/2017;130 kW (177 hp);Used;- (Previous Owners);Automatic;Diesel;4.8 l/100 km (comb.);126 g/km (comb.)
Audi A4 ;€ 18,990.-;98,646 km;01/2017;90 kW (122 hp);Used;1 previous owner;Manual;Diesel;- (l/100 km);- (g/km)
Mercedes-Benz GLS 400 ;€ 112,800.-;50,000 km;05/2021;243 kW (330 hp);Used;- (Previous Owners);Automatic;Diesel;7.1 l/100 km (comb.);187 g/km (comb.)
Mercedes-Benz GLE 350 ;€ 34,950.-;167,190 km;08/2015;190 kW (258 hp);Used;2 previous owners;Automatic;Diesel;6.4 l/100 km (comb.);169 g/km (comb.)
Tesla Model 3 ;€ 45,500.-;48,300 km;03/2021;246 kW (334 hp);Used;- (Previous Owners);Automatic;Electric;- (l/100 km);0 g/km (comb.)
Audi RS5 ;€ 59,900.-;63,896 km;02/2018;331 kW (450 hp);Used;- (Previous Owners);Automatic;Gasoline;8.7 l/100 km (comb.);- (g/km)
Mercedes-Benz C 43 AMG ;€ 45,490.-;61,000 km;04/2018;270 kW (367 hp);Used;- (Previous Owners);Automatic;Gasoline;7.8 l/100 km (comb.);178 g/km (comb.)
Mercedes-Benz A 250 ;€ 27,775.-;35,807 km;10/2020;118 kW (160 hp);Used;1 previous owner;Automatic;Electric/Gasoline;- (l/100 km);0 g/km (comb.)
Mercedes-Benz A 250 ;€ 27,775.-;47,214 km;08/2020;118 kW (160 hp);Used;1 previous owner;Automatic;Electric/Gasoline;- (l/100 km);0 g/km (comb.)
Mercedes-Benz C 63 AMG ;€ 53,800.-;99,500 km;05/2017;375 kW (510 hp);Used;2 previous owners;Automatic;Gasoline;8.2 l/100 km (comb.);192 g/km (comb.)
BMW Z4 ;€ 29,444.-;24,000 km;11/2013;180 kW (245 hp);Used;- (Previous Owners);Manual;Gasoline;- (l/100 km);0 g/km (comb.)
Audi A6 ;€ 33,970.-;119,470 km;02/2019;210 kW (286 hp);Used;1 previous owner;Automatic;Diesel;7.3 l/100 km;190 g/km (comb.)
BMW M4 ;€ 124,900.-;6,211 km;12/2022;375 kW (510 hp);Used;- (Previous Owners);Automatic;Gasoline;- (l/100 km);- (g/km)
BMW X3 ;€ 54,900.-;15,901 km;07/2022;140 kW (190 hp);Used;- (Previous Owners);Automatic;Diesel;- (l/100 km);- (g/km)
Mercedes-Benz E 220 ;€ 20,777.-;156,000 km;01/2015;125 kW (170 hp);Used;- (Previous Owners);Automatic;Diesel;- (l/100 km);0 g/km (comb.)
BMW X1 ;€ 19,999.-;134,561 km;04/2017;140 kW (190 hp);Used;1 previous owner;Automatic;Diesel;4.9 l/100 km (comb.);129 g/km (comb.)
BMW M4 ;€ 124,900.-;6,211 km;12/2022;375 kW (510 hp);Used;- (Previous Owners);Automatic;Gasoline;- (l/100 km);- (g/km)
Kia Cerato ;€ 1,990.-;305,000 km;06/2006;75 kW (102 hp);Used;- (Previous Owners);Manual;Diesel;4.9 l/100 km (comb.);- (g/km)
Alpine A110 ;€ 67,900.-;6,384 km;01/2022;185 kW (252 hp);Used;- (Previous Owners);Automatic;Gasoline;- (l/100 km);- (g/km)
Mercedes-Benz E 53 AMG ;€ 64,970.-;53,096 km;08/2018;320 kW (435 hp);Used;3 previous owners;Automatic;Gasoline;8.7 l/100 km (comb.);200 g/km (comb.)
Porsche Panamera ;€ 46,985.-;122,000 km;05/2014;245 kW (333 hp);Used;- (Previous Owners);Automatic;Electric/Gasoline;3.1 l/100 km (comb.);73 g/km (comb.)
Mercedes-Benz E 53 AMG ;€ 64,970.-;53,096 km;08/2018;320 kW (435 hp);Used;3 previous owners;Automatic;Gasoline;8.7 l/100 km (comb.);200 g/km (comb.)
Cupra Leon ;€ 18,452.-;116,246 km;11/2016;213 kW (290 hp);Used;2 previous owners;Automatic;Gasoline;6.8 l/100 km (comb.);158 g/km (comb.)
Mercedes-Benz C 63 AMG ;€ 62,990.-;40,000 km;01/2018;350 kW (476 hp);Used;- (Previous Owners);Automatic;Gasoline;8.6 l/100 km (comb.);- (g/km)
Volvo XC60 ;€ 24,990.-;90,200 km;07/2016;162 kW (220 hp);Used;- (Previous Owners);Automatic;Diesel;- (l/100 km);- (g/km)
Mercedes-Benz A 250 ;€ 35,755.-;49,446 km;12/2020;118 kW (160 hp);Used;1 previous owner;Automatic;Electric/Gasoline;14.8 kWh/100 km (comb.);- (g/km)
Mercedes-Benz E 350 ;€ 47,950.-;34,078 km;09/2019;220 kW (299 hp);Used;1 previous owner;Automatic;Gasoline;8.3 l/100 km;189 g/km (comb.)
Mercedes-Benz E 220 ;€ 27,900.-;194,000 km;07/2019;143 kW (194 hp);Used;- (Previous Owners);Automatic;Diesel;4.5 l/100 km (comb.);- (g/km)
Tesla Model 3 ;€ 36,950.-;31,600 km;12/2020;225 kW (306 hp);Used;1 previous owner;Automatic;Electric;- (l/100 km);0 g/km (comb.)
Volkswagen T6 Caravelle ;€ 36,990.-;55,050 km;11/2016;110 kW (150 hp);Used;1 previous owner;Automatic;Diesel;6.1 l/100 km (comb.);162 g/km (comb.)
Mercedes-Benz SLC 200 ;€ 34,995.-;1,945 km;06/2020;135 kW (184 hp);Used;1 previous owner;Manual;Gasoline;6.1 l/100 km (comb.);142 g/km (comb.)
Volkswagen Tiguan ;€ 18,990.-;106,925 km;08/2017;110 kW (150 hp);Used;1 previous owner;Manual;Gasoline;5.7 l/100 km (comb.);130 g/km (comb.)
Mercedes-Benz E 350 ;€ 26,950.-;215,000 km;03/2017;190 kW (258 hp);Used;- (Previous Owners);Automatic;Diesel;5.1 l/100 km (comb.);133 g/km (comb.)
Volkswagen Golf ;€ 57,990.-;14,355 km;10/2021;235 kW (320 hp);Used;1 previous owner;Automatic;Gasoline;7 l/100 km (comb.);161 g/km (comb.)
Nissan Juke ;€ 12,900.-;104,000 km;05/2012;140 kW (190 hp);Used;- (Previous Owners);Manual;Gasoline;6.9 l/100 km (comb.);- (g/km)
Peugeot 3008 ;€ 20,500.-;65,986 km;01/2019;96 kW (131 hp);Used;- (Previous Owners);Manual;Diesel;- (l/100 km);- (g/km)
Opel Crossland ;€ 13,500.-;100,920 km;04/2019;75 kW (102 hp);Used;- (Previous Owners);Manual;Diesel;4 l/100 km (comb.);- (g/km)
Renault Koleos ;€ 13,950.-;82,123 km;07/2013;110 kW (150 hp);Used;1 previous owner;Manual;Diesel;- (l/100 km);- (g/km)
Audi SQ8 ;€ 114,970.-;36,450 km;02/2021;373 kW (507 hp);Used;1 previous owner;Automatic;Gasoline;12.9 l/100 km;293 g/km (comb.)
Audi A7 ;€ 44,970.-;117,650 km;03/2018;250 kW (340 hp);Used;2 previous owners;Automatic;Gasoline;7.2 l/100 km (comb.);163 g/km (comb.)
Volkswagen Polo ;€ 4,780.-;226,500 km;04/2010;55 kW (75 hp);Used;2 previous owners;Manual;Diesel;3.4 l/100 km (comb.);89 g/km (comb.)
Audi A7 ;€ 44,970.-;117,650 km;03/2018;250 kW (340 hp);Used;2 previous owners;Automatic;Gasoline;7.2 l/100 km (comb.);163 g/km (comb.)
Mercedes-Benz S 63 AMG ;€ 30,890.-;125,000 km;10/2011;400 kW (544 hp);Used;- (Previous Owners);Automatic;Gasoline;10.5 l/100 km (comb.);244 g/km (comb.)
Alfa Romeo Stelvio ;€ 29,500.-;59,964 km;01/2019;140 kW (190 hp);Used;- (Previous Owners);Automatic;Diesel;5.7 l/100 km (comb.);- (g/km)
Audi A5 ;€ 17,990.-;36,700 km;07/2011;125 kW (170 hp);Used;1 previous owner;Manual;Diesel;5.3 l/100 km (comb.);134 g/km (comb.)
Mercedes-Benz S 63 AMG ;€ 105,990.-;80,000 km;04/2018;430 kW (585 hp);Used;1 previous owner;Automatic;Gasoline;10.3 l/100 km (comb.);242 g/km (comb.)
BMW i8 ;€ 99,900.-;33,000 km;08/2019;268 kW (364 hp);Used;1 previous owner;Automatic;Electric/Gasoline;2 l/100 km (comb.);49 g/km (comb.)
Kia e-Niro ;€ 36,950.-;45,663 km;07/2019;150 kW (204 hp);Used;1 previous owner;Automatic;Electric;- (l/100 km);0 g/km (comb.)
Mercedes-Benz GLE 53 AMG ;€ 109,850.-;6,209 km;01/2022;320 kW (435 hp);Used;1 previous owner;Automatic;Gasoline;9.6 l/100 km (comb.);220 g/km (comb.)
Volvo XC90 ;€ 49,450.-;73,800 km;05/2018;223 kW (303 hp);Used;1 previous owner;Automatic;Gasoline;;59 g/km (comb.)
BMW 520 ;€ 6,899.-;185,000 km;11/2007;130 kW (177 hp);Used;4 previous owners;Manual;Diesel;- (l/100 km);149 g/km (comb.)
Porsche Panamera ;€ 89,900.-;113,000 km;08/2017;310 kW (421 hp);Used;2 previous owners;Automatic;Diesel;6.7 l/100 km (comb.);176 g/km (comb.)
Skoda Superb ;€ 26,900.-;111,189 km;12/2020;115 kW (156 hp);Used;1 previous owner;Automatic;Electric/Gasoline;1.5 l/100 km (comb.);- (g/km)
Volkswagen Beetle ;€ 12,950.-;99,922 km;08/2012;103 kW (140 hp);Used;- (Previous Owners);Manual;Diesel;- (l/100 km);0 g/km (comb.)
Mercedes-Benz AMG GT ;€ 131,835.-;45,642 km;10/2019;470 kW (639 hp);Used;1 previous owner;Automatic;Gasoline;11.3 l/100 km (comb.);257 g/km (comb.)
BMW 750 ;€ 34,499.-;51,678 km;05/2015;330 kW (449 hp);Used;- (Previous Owners);Automatic;Gasoline;- (l/100 km);- (g/km)
Chrysler Crossfire ;€ 5,900.-;192,000 km;01/2004;160 kW (218 hp);Used;- (Previous Owners);Manual;Gasoline;10.4 l/100 km (comb.);- (g/km)
Hyundai i30 ;€ 24,475.-;42,715 km;10/2019;202 kW (275 hp);Used;2 previous owners;Manual;Gasoline;- (l/100 km);- (g/km)
BMW X3 ;€ 59,999.-;2,915 km;01/2021;215 kW (292 hp);Used;1 previous owner;Automatic;Electric/Gasoline;2.4 l/100 km (comb.);47 g/km (comb.)
Audi S8 ;€ 47,990.-;78,000 km;05/2015;382 kW (519 hp);Used;- (Previous Owners);Automatic;Gasoline;9.4 l/100 km (comb.);215 g/km (comb.)
Peugeot 3008 ;€ 12,490.-;27,500 km;10/2013;110 kW (150 hp);Used;- (Previous Owners);Manual;Diesel;5.3 l/100 km (comb.);139 g/km (comb.)
BMW 218 ;€ 15,950.-;130,000 km;06/2019;110 kW (150 hp);Used;1 previous owner;Manual;Diesel;4.6 l/100 km (comb.);120 g/km (comb.)
Porsche Macan ;€ 31,990.-;196,118 km;05/2015;190 kW (258 hp);Used;- (Previous Owners);Automatic;Diesel;- (l/100 km);159 g/km (comb.)
Audi A3 ;€ 8,290.-;206,500 km;08/2011;103 kW (140 hp);Used;2 previous owners;Manual;Diesel;5.1 l/100 km (comb.);135 g/km (comb.)
Mazda RX-8 ;€ 9,985.-;65,000 km;04/2004;170 kW (231 hp);Used;- (Previous Owners);Manual;Gasoline;- (l/100 km);- (g/km)
Volkswagen Golf Plus ;€ 11,450.-;66,825 km;08/2009;118 kW (160 hp);Used;1 previous owner;Automatic;Gasoline;6.3 l/100 km (comb.);147 g/km (comb.)
Others ;€ 69,990.-;465,000 km;01/1999;213 kW (290 hp);Used;2 previous owners;Manual;Diesel;- (l/100 km);0 g/km (comb.)
Others ;€ 69,990.-;465,000 km;01/1999;213 kW (290 hp);Used;2 previous owners;Manual;Diesel;- (l/100 km);0 g/km (comb.)
Audi A6 allroad ;€ 19,985.-;150,000 km;04/2013;150 kW (204 hp);Used;1 previous owner;Automatic;Diesel;6.1 l/100 km (comb.);162 g/km (comb.)
Land Rover Discovery Sport ;€ 19,985.-;150,000 km;02/2017;110 kW (150 hp);Used;- (Previous Owners);Automatic;Diesel;5.1 l/100 km (comb.);134 g/km (comb.)
Mercedes-Benz G 500 ;€ 82,900.-;110,000 km;01/2006;218 kW (296 hp);Used;- (Previous Owners);Automatic;Gasoline;15.5 l/100 km (comb.);- (g/km)
Nissan Qashqai ;€ 11,500.-;172,436 km;06/2015;81 kW (110 hp);Used;- (Previous Owners);Manual;Diesel;3.8 l/100 km (comb.);- (g/km)
Audi SQ8 ;€ 95,749.-;76,450 km;11/2019;320 kW (435 hp);Used;1 previous owner;Automatic;Diesel;7.8 l/100 km (comb.);204 g/km (comb.)
Volkswagen T5 Multivan ;€ 23,000.-;90,000 km;12/2012;132 kW (179 hp);Used;- (Previous Owners);Automatic;Diesel;8.3 l/100 km (comb.);- (g/km)
Mercedes-Benz E 53 AMG ;€ 55,990.-;96,000 km;02/2019;320 kW (435 hp);Used;1 previous owner;Automatic;Gasoline;8.7 l/100 km (comb.);200 g/km (comb.)
BMW 330 ;€ 28,380.-;50,000 km;05/2018;185 kW (252 hp);Used;1 previous owner;Automatic;Electric/Gasoline;2.1 l/100 km (comb.);49 g/km (comb.)
Kia Optima ;€ 24,900.-;39,153 km;04/2019;151 kW (205 hp);Used;- (Previous Owners);Automatic;Electric/Gasoline;1.6 l/100 km (comb.);- (g/km)
BMW 440 ;€ 29,800.-;77,900 km;08/2016;240 kW (326 hp);Used;3 previous owners;Automatic;Gasoline;6.6 l/100 km (comb.);154 g/km (comb.)
Citroen Berlingo ;€ 9,990.-;125,000 km;08/2015;73 kW (99 hp);Used;- (Previous Owners);Manual;Diesel;4.1 l/100 km (comb.);109 g/km (comb.)
Kia Carens ;€ 5,950.-;224,388 km;04/2014;99 kW (135 hp);Used;1 previous owner;Automatic;Gasoline;6.8 l/100 km (comb.);161 g/km (comb.)
BMW 740 ;€ 53,390.-;84,756 km;04/2017;240 kW (326 hp);Used;- (Previous Owners);Automatic;Electric/Gasoline;2 l/100 km (comb.);- (g/km)
Mercedes-Benz S 350 ;€ 83,950.-;53,000 km;11/2020;210 kW (286 hp);Used;2 previous owners;Automatic;Diesel;6.2 l/100 km (comb.);162 g/km (comb.)
Mercedes-Benz C 43 AMG ;€ 42,680.-;37,367 km;03/2018;270 kW (367 hp);Used;- (Previous Owners);Automatic;Gasoline;8 l/100 km (comb.);183 g/km (comb.)
Abarth 595 Pista ;€ 16,300.-;53,754 km;04/2018;118 kW (160 hp);Used;- (Previous Owners);Manual;Gasoline;6 l/100 km (comb.);139 g/km (comb.)
Volkswagen Golf ;€ 19,469.-;95,661 km;06/2018;135 kW (184 hp);Used;1 previous owner;Automatic;Diesel;4.4 l/100 km (comb.);117 g/km (comb.)
Audi RS5 ;€ 55,890.-;80,000 km;02/2018;331 kW (450 hp);Used;- (Previous Owners);Automatic;Gasoline;8.7 l/100 km (comb.);197 g/km (comb.)
Mercedes-Benz A 250 ;€ 28,885.-;30,901 km;08/2020;118 kW (160 hp);Used;1 previous owner;Automatic;Electric/Gasoline;- (l/100 km);0 g/km (comb.)
BMW 216 ;€ 17,950.-;59,000 km;06/2018;85 kW (116 hp);Used;1 previous owner;Manual;Diesel;4 l/100 km (comb.);106 g/km (comb.)
Nissan NV300 ;€ 21,340.-;99,750 km;11/2016;92 kW (125 hp);Used;- (Previous Owners);Manual;Diesel;5.6 l/100 km (comb.);145 g/km (comb.)
Dacia Duster ;€ 11,990.-;105,446 km;03/2017;81 kW (110 hp);Used;1 previous owner;Manual;Diesel;- (l/100 km);115 g/km (comb.)
BMW X3 ;€ 14,985.-;156,000 km;01/2014;135 kW (184 hp);Used;- (Previous Owners);Manual;Diesel;5.6 l/100 km (comb.);148 g/km (comb.)
Ford Mustang ;€ 54,990.-;4,500 km;04/2022;331 kW (450 hp);Used;- (Previous Owners);Automatic;Gasoline;- (l/100 km);- (g/km)
Mercedes-Benz A 250 ;€ 29,985.-;21,973 km;12/2020;118 kW (160 hp);Used;1 previous owner;Automatic;Electric/Gasoline;- (l/100 km);0 g/km (comb.)
Volkswagen Golf ;€ 13,980.-;77,000 km;11/1989;128 kW (174 hp);Used;1 previous owner;Manual;Gasoline;- (l/100 km);- (g/km)
Ford Mondeo ;€ 9,560.-;169,000 km;01/2018;110 kW (150 hp);Used;- (Previous Owners);Manual;Diesel;4.8 l/100 km (comb.);- (g/km)
Volkswagen Golf ;€ 13,950.-;183,000 km;09/2017;135 kW (184 hp);Used;1 previous owner;Manual;Diesel;4.7 l/100 km (comb.);123 g/km (comb.)
Jaguar F-Pace ;€ 33,855.-;165,000 km;05/2019;221 kW (300 hp);Used;1 previous owner;Automatic;Diesel;6.5 l/100 km (comb.);171 g/km (comb.)
BMW X1 ;€ 18,490.-;99,000 km;04/2018;85 kW (116 hp);Used;1 previous owner;Manual;Diesel;- (l/100 km);- (g/km)
Ford Focus ;€ 19,985.-;34,700 km;09/2019;134 kW (182 hp);Used;1 previous owner;Manual;Gasoline;5.5 l/100 km (comb.);146 g/km (comb.)
Volkswagen Golf ;€ 30,990.-;51,750 km;06/2019;213 kW (290 hp);Used;1 previous owner;Automatic;Gasoline;6.7 l/100 km (comb.);174 g/km (comb.)
Audi A3 ;€ 3,700.-;112,000 km;04/2003;75 kW (102 hp);Used;2 previous owners;Manual;Gasoline;6.8 l/100 km (comb.);161 g/km (comb.)
Fiat Panda ;€ 4,600.-;199,003 km;08/2006;40 kW (54 hp);Used;4 previous owners;Manual;Gasoline;5.7 l/100 km (comb.);135 g/km (comb.)
smart forFour ;€ 10,500.-;50,000 km;02/2016;52 kW (71 hp);Used;1 previous owner;Automatic;Gasoline;4.2 l/100 km (comb.);98 g/km (comb.)
Opel Agila ;€ 2,990.-;161,223 km;07/2003;43 kW (58 hp);Used;1 previous owner;Manual;Gasoline;6.4 l/100 km (comb.);154 g/km (comb.)
Skoda Kodiaq ;€ 45,490.-;34,430 km;11/2019;176 kW (239 hp);Used;1 previous owner;Automatic;Diesel;6.4 l/100 km (comb.);213 g/km (comb.)
SEAT Leon ;€ 16,480.-;163,000 km;12/2018;110 kW (150 hp);Used;- (Previous Owners);Automatic;Diesel;4.5 l/100 km (comb.);117 g/km (comb.)
SEAT Leon ;€ 17,480.-;121,200 km;08/2018;110 kW (150 hp);Used;- (Previous Owners);Manual;Diesel;4.4 l/100 km (comb.);112 g/km (comb.)
SEAT Leon ;€ 14,480.-;163,000 km;07/2018;85 kW (116 hp);Used;- (Previous Owners);Automatic;Diesel;4.2 l/100 km (comb.);111 g/km (comb.)
Mercedes-Benz Vito ;€ 13,900.-;170,000 km;07/2015;84 kW (114 hp);Used;- (Previous Owners);- (Gear);Diesel;- (l/100 km);- (g/km)
SEAT Leon ;€ 17,980.-;99,500 km;04/2019;85 kW (116 hp);Used;- (Previous Owners);Automatic;Diesel;4.2 l/100 km (comb.);106 g/km (comb.)
SEAT Leon ;€ 16,980.-;96,500 km;03/2019;85 kW (116 hp);Used;- (Previous Owners);Automatic;Diesel;4.2 l/100 km (comb.);106 g/km (comb.)
SEAT Leon ;€ 16,480.-;122,600 km;02/2019;85 kW (116 hp);Used;- (Previous Owners);Automatic;Diesel;4.2 l/100 km (comb.);106 g/km (comb.)
SEAT Leon ;€ 15,980.-;108,300 km;04/2019;85 kW (116 hp);Used;- (Previous Owners);Automatic;Diesel;4.2 l/100 km (comb.);106 g/km (comb.)
SEAT Leon ;€ 14,980.-;124,800 km;08/2019;85 kW (116 hp);Used;- (Previous Owners);Automatic;Diesel;4.2 l/100 km (comb.);106 g/km (comb.)
SEAT Leon ;€ 14,480.-;140,500 km;08/2018;85 kW (116 hp);Used;- (Previous Owners);Automatic;Diesel;4.2 l/100 km (comb.);111 g/km (comb.)
Volkswagen Golf ;€ 19,450.-;34,200 km;05/2019;96 kW (131 hp);Used;- (Previous Owners);Manual;Gasoline;4.8 l/100 km (comb.);- (g/km)
SEAT Leon ;€ 15,980.-;149,900 km;10/2018;85 kW (116 hp);Used;- (Previous Owners);Automatic;Diesel;4.2 l/100 km (comb.);106 g/km (comb.)
SEAT Leon ;€ 14,480.-;148,500 km;08/2019;85 kW (116 hp);Used;- (Previous Owners);Automatic;Diesel;4.2 l/100 km (comb.);106 g/km (comb.)
SEAT Leon ;€ 15,680.-;118,300 km;06/2019;85 kW (116 hp);Used;- (Previous Owners);Automatic;Diesel;4.2 l/100 km (comb.);106 g/km (comb.)
SEAT Leon ;€ 14,980.-;114,700 km;06/2019;85 kW (116 hp);Used;- (Previous Owners);Manual;Diesel;4.1 l/100 km (comb.);108 g/km (comb.)
SEAT Leon ;€ 15,480.-;114,500 km;09/2019;85 kW (116 hp);Used;- (Previous Owners);Manual;Diesel;4.1 l/100 km (comb.);108 g/km (comb.)
Audi Q5 ;€ 28,919.-;72,548 km;01/2018;120 kW (163 hp);Used;- (Previous Owners);Automatic;Diesel;- (l/100 km);- (g/km)
SEAT Leon ;€ 16,480.-;110,800 km;08/2019;85 kW (116 hp);Used;- (Previous Owners);Manual;Diesel;4.1 l/100 km (comb.);108 g/km (comb.)
SsangYong Korando ;€ 12,490.-;62,134 km;01/2014;110 kW (150 hp);Used;- (Previous Owners);Manual;Diesel;5.8 l/100 km (comb.);- (g/km)
Opel Crossland ;€ 12,990.-;70,404 km;01/2018;96 kW (131 hp);Used;- (Previous Owners);Manual;Gasoline;4.7 l/100 km (comb.);- (g/km)
Kia Sportage ;€ 10,490.-;99,000 km;01/2012;85 kW (116 hp);Used;- (Previous Owners);Manual;Diesel;5.3 l/100 km (comb.);- (g/km)
SEAT Ateca ;€ 24,480.-;40,000 km;06/2018;110 kW (150 hp);Used;- (Previous Owners);Automatic;Gasoline;5.4 l/100 km (comb.);125 g/km (comb.)
SEAT Ateca ;€ 27,980.-;67,500 km;05/2019;110 kW (150 hp);Used;- (Previous Owners);Automatic;Diesel;4.5 l/100 km (comb.);123 g/km (comb.)
SEAT Ateca ;€ 25,480.-;128,100 km;04/2019;110 kW (150 hp);Used;- (Previous Owners);Automatic;Diesel;4.5 l/100 km (comb.);123 g/km (comb.)
SEAT Ateca ;€ 28,980.-;110,200 km;01/2019;140 kW (190 hp);Used;- (Previous Owners);Automatic;Diesel;5 l/100 km (comb.);142 g/km (comb.)
SEAT Ateca ;€ 27,980.-;102,400 km;02/2018;140 kW (190 hp);Used;- (Previous Owners);Automatic;Diesel;5 l/100 km (comb.);142 g/km (comb.)
SEAT Ateca ;€ 22,980.-;82,800 km;05/2020;110 kW (150 hp);Used;- (Previous Owners);Manual;Diesel;4.4 l/100 km (comb.);124 g/km (comb.)
SEAT Ateca ;€ 29,980.-;62,000 km;02/2020;110 kW (150 hp);Used;- (Previous Owners);Automatic;Diesel;4.9 l/100 km (comb.);145 g/km (comb.)
SEAT Ateca ;€ 29,480.-;80,100 km;07/2020;110 kW (150 hp);Used;- (Previous Owners);Manual;Diesel;4.9 l/100 km (comb.);145 g/km (comb.)
SEAT Ateca ;€ 28,480.-;88,000 km;06/2020;110 kW (150 hp);Used;- (Previous Owners);Manual;Diesel;4.9 l/100 km (comb.);145 g/km (comb.)
SEAT Ateca ;€ 27,980.-;75,000 km;12/2019;110 kW (150 hp);Used;- (Previous Owners);Automatic;Diesel;4.5 l/100 km (comb.);123 g/km (comb.)
SEAT Ateca ;€ 25,480.-;130,500 km;02/2018;140 kW (190 hp);Used;- (Previous Owners);Automatic;Diesel;5 l/100 km (comb.);142 g/km (comb.)
Ford Fiesta ;€ 6,990.-;159,995 km;09/2014;70 kW (95 hp);Used;- (Previous Owners);Manual;Diesel;3.6 l/100 km (comb.);- (g/km)
Audi A3 ;€ 20,490.-;69,100 km;01/2018;110 kW (150 hp);Used;- (Previous Owners);Manual;Diesel;4.2 l/100 km (comb.);- (g/km)
Audi Q5 ;€ 24,490.-;117,000 km;07/2014;180 kW (245 hp);Used;- (Previous Owners);Automatic;Diesel;6.4 l/100 km (comb.);- (g/km)
Land Rover Range Rover Sport ;€ 26,490.-;222,014 km;01/2014;190 kW (258 hp);Used;- (Previous Owners);Automatic;Diesel;6.9 l/100 km (comb.);- (g/km)
SEAT Ateca ;€ 19,980.-;119,300 km;04/2019;85 kW (116 hp);Used;- (Previous Owners);Manual;Diesel;4.2 l/100 km (comb.);120 g/km (comb.)
SEAT Ateca ;€ 23,480.-;48,500 km;06/2019;85 kW (116 hp);Used;- (Previous Owners);Manual;Diesel;4.2 l/100 km (comb.);120 g/km (comb.)
Toyota Corolla ;€ 22,990.-;22,627 km;12/2021;90 kW (122 hp);Used;- (Previous Owners);Automatic;Electric/Gasoline;- (l/100 km);- (g/km)
Toyota C-HR ;€ 23,990.-;98,541 km;11/2018;90 kW (122 hp);Used;- (Previous Owners);Automatic;Electric/Gasoline;4 l/100 km (comb.);- (g/km)
Toyota C-HR ;€ 22,990.-;69,400 km;08/2019;90 kW (122 hp);Used;- (Previous Owners);Automatic;Electric/Gasoline;4 l/100 km (comb.);- (g/km)
Toyota Auris ;€ 16,990.-;93,225 km;07/2018;100 kW (136 hp);Used;- (Previous Owners);Automatic;Electric/Gasoline;4.5 l/100 km (comb.);- (g/km)
SEAT Arona ;€ 19,480.-;50,100 km;08/2020;70 kW (95 hp);Used;- (Previous Owners);Manual;Diesel;4.9 l/100 km (comb.);108 g/km (comb.)
SEAT Arona ;€ 19,480.-;16,300 km;10/2020;70 kW (95 hp);Used;- (Previous Owners);Manual;Diesel;4.9 l/100 km (comb.);108 g/km (comb.)
Opel Crossland ;€ 15,995.-;115,340 km;10/2017;60 kW (82 hp);Used;- (Previous Owners);Manual;CNG;5.2 kg/100 km (comb.);- (g/km)
SEAT Arona ;€ 19,980.-;13,000 km;06/2020;70 kW (95 hp);Used;- (Previous Owners);Manual;Diesel;4.9 l/100 km (comb.);108 g/km (comb.)
Toyota Auris ;€ 17,000.-;31,400 km;07/2018;100 kW (136 hp);Used;- (Previous Owners);Automatic;Electric/Gasoline;4.3 l/100 km (comb.);- (g/km)
Toyota Land Cruiser ;€ 28,800.-;406,000 km;07/2015;140 kW (190 hp);Used;- (Previous Owners);Automatic;Diesel;8.1 l/100 km (comb.);- (g/km)
Mercedes-Benz Citan ;€ 33,588.-;1,268 km;11/2021;70 kW (95 hp);Used;- (Previous Owners);Manual;Diesel;- (l/100 km);140 g/km (comb.)
SEAT Arona ;€ 19,480.-;40,200 km;07/2020;70 kW (95 hp);Used;- (Previous Owners);Manual;Diesel;4.9 l/100 km (comb.);108 g/km (comb.)
SEAT Arona ;€ 19,980.-;40,300 km;02/2020;70 kW (95 hp);Used;- (Previous Owners);Manual;Diesel;4.9 l/100 km (comb.);108 g/km (comb.)
Lancia Beta ;€ 15,500.-;140,000 km;06/1975;86 kW (117 hp);Used;- (Previous Owners);Manual;Gasoline;- (l/100 km);- (g/km)
BMW 116 ;€ 10,990.-;134,750 km;07/2014;85 kW (116 hp);Used;- (Previous Owners);Manual;Diesel;3.8 l/100 km (comb.);- (g/km)
Peugeot 508 ;€ 12,990.-;118,800 km;06/2017;88 kW (120 hp);Used;- (Previous Owners);Automatic;Diesel;4.2 l/100 km (comb.);- (g/km)
Jeep Renegade ;€ 15,990.-;86,290 km;11/2018;88 kW (120 hp);Used;- (Previous Owners);Manual;Gasoline;5.7 l/100 km (comb.);- (g/km)
Opel Astra ;€ 13,990.-;43,025 km;02/2019;77 kW (105 hp);Used;- (Previous Owners);Manual;Gasoline;4.3 l/100 km (comb.);- (g/km)
SEAT Arona ;€ 17,480.-;73,900 km;09/2020;70 kW (95 hp);Used;- (Previous Owners);Manual;Diesel;4.9 l/100 km (comb.);108 g/km (comb.)
